group,country,number,position,name,name_zh,age,date_of_birth,caps,goals,club,captain,image,image_source,profile
A,Mexico,1,GK,Raúl Rangel,墨西哥1号门将,26,,13,0,Guadalajara,False,https://images.fotmob.com/image_resources/playerimages/1227878.png,fotmob,https://www.fotmob.com/players/1227878
A,Mexico,2,DF,Jorge Sánchez,墨西哥2号后卫,28,,58,3,PAOK,False,https://images.fotmob.com/image_resources/playerimages/727586.png,fotmob,https://www.fotmob.com/players/727586
A,Mexico,3,DF,César Montes,墨西哥3号后卫,29,,66,4,Lokomotiv Moscow,False,https://images.fotmob.com/image_resources/playerimages/664644.png,fotmob,https://www.fotmob.com/players/664644
A,Mexico,4,DF,Edson Álvarez,埃德松·阿尔瓦雷斯,28,,97,7,Fenerbahçe,True,https://images.fotmob.com/image_resources/playerimages/783505.png,fotmob,https://www.fotmob.com/players/783505
A,Mexico,5,DF,Johan Vásquez,墨西哥5号后卫,27,,45,2,Genoa,False,https://images.fotmob.com/image_resources/playerimages/914103.png,fotmob,https://www.fotmob.com/players/914103
A,Mexico,6,MF,Érik Lira,墨西哥6号中场,26,,24,0,Cruz Azul,False,https://images.fotmob.com/image_resources/playerimages/971628.png,fotmob,https://www.fotmob.com/players/971628
A,Mexico,7,MF,Luis Romo,墨西哥7号中场,31,,62,4,Guadalajara,False,https://images.fotmob.com/image_resources/playerimages/921174.png,fotmob,https://www.fotmob.com/players/921174
A,Mexico,8,MF,Álvaro Fidalgo,墨西哥8号中场,29,,3,0,Real Betis,False,https://images.fotmob.com/image_resources/playerimages/895954.png,fotmob,https://www.fotmob.com/players/895954
A,Mexico,9,FW,Raúl Jiménez,劳尔·希门尼斯,35,,123,44,Fulham,False,https://images.fotmob.com/image_resources/playerimages/292313.png,fotmob,https://www.fotmob.com/players/292313
A,Mexico,10,FW,Alexis Vega,墨西哥10号前锋,28,,51,7,Toluca,False,https://images.fotmob.com/image_resources/playerimages/728365.png,fotmob,https://www.fotmob.com/players/728365
A,Mexico,11,FW,Santiago Giménez,圣地亚哥·希门尼斯,25,,47,6,Milan,False,https://images.fotmob.com/image_resources/playerimages/954092.png,fotmob,https://www.fotmob.com/players/954092
